Event,Athlete,Distance,Time,Classification
U23 Women,"Hahn, Sophia",2K,00:06:44.0,
U23 Women,"Judd, Kaitlyn",2K,00:07:14.6,
U23 Women,"O'Brien, Aislinn",2K,00:07:26.9,
Open Women,"Brija, Savannah",2K,00:06:58.7,
Open Women,"Busse, Sera",2K,00:06:53.1,
Open Women,"Goodman, Megan",2K,00:06:46.9,
Open Women,"Kallfelz, Emily",2K,00:06:55.6,
Open Women,"Logan, Carly",2K,00:07:14.2,
Open Women,"Nicacio, Veronica",2K,00:06:50.9,
Open Women,"Parker, Abigail",2K,00:06:53.7,
Open Women,"Paynter, Hannah",2K,00:06:46.5,
Open Women,"Pennoyer, Sophie",2K,00:06:48.1,
Open Women,"Pretto, Cristina",2K,00:06:47.2,
Open Women,"Rusher, Alie",2K,00:06:58.6,
Open Women,"Vallancey-Martinson, Alexandria",2K,00:06:49.9,
U19 Men,"Fineman, Nathan",2K,00:06:17.3,
U19 Men,"Green, Oscar",2K,00:06:49.5,
U19 Men,"Schwager, Luke",2K,00:06:59.7,
U23 Men,"Fargo, Charlie",2K,00:06:02.0,
U23 Men,"Geib, Will",2K,00:05:59.4,
Open Men,"Phifer, Thomas",2K,00:05:51.7,
