Event,Athlete,Distance,Time,Classification
U19 Women,"Tierney, Emily",2K,00:07:20.0,
U23 Women,"Ericksen, Avery",2K,00:06:55.1,
U23 Women,"Touzot, Justine",2K,00:07:22.7,
U23 Women,"Wiley, Charlotte",2K,00:07:06.7,
U23 Women,"Ericksen, Avery",6K,00:21:57.5,
U23 Women,"Gevaudan, Victoria",6K,00:22:59.5,
U23 Women,"Hoefer, Natalie",6K,00:22:15.7,
U23 Women,"Tierney, Caeley",6K,00:22:21.1,
U23 Women,"Wiley, Charlotte",6K,00:22:42.9,
Open Women,"Darvin, Isa",6K,00:21:22.8,
U19 Men,"Carroll, Jack",2K,00:06:38.6,
U19 Men,"Tunstall, Drew",2K,00:06:36.0,
U23 Men,"Crouch, Gavin",2K,00:06:16.0,
U23 Men,"Irving, Jordan",2K,00:06:13.9,
U23 Men,"Scheurkogel, Chandler",2K,00:05:59.1,
U23 Men,"Irving, Jordan",6K,00:19:53.0,
U23 Men,"Page-Kuhr, Oliver",6K,00:19:03.7,
Open Men,"Fuller, Casey",2K,00:06:00.0,
Open Men,"Duncan, Breck",6K,00:18:58.9,
Open Men,"Wehking, Adam",6K,00:19:09.9,
