Event,Athlete,Distance,Time,Classification
U19 Women,"Borthwick, Kathryn",2K,00:07:54.8,
U19 Women,"Tierney, Emily",2K,00:07:18.0,
U23 Women,"Alexander, Brooke",2K,00:07:12.2,
U23 Women,"Ericksen, Avery",2K,00:06:52.0,
U23 Women,"O'Brien, Aislinn",2K,00:07:31.8,
U23 Women,"Alexander, Brooke",6K,00:23:03.5,
Open Women,"Baker, Allyson",2K,00:06:56.3,
Open Women,"Bruggeman, Molly",2K,00:06:44.5,
Open Women,"Buck, Charlotte",2K,00:06:44.7,
Open Women,"Collins, Claire",2K,00:06:39.9,
Open Women,"Darvin, Isa",2K,00:06:40.8,
Open Women,"Hagstrom, Alina",2K,00:06:43.5,
Open Women,"Kohler, Kara",2K,00:06:44.4,
Open Women,"Moore, Molly",2K,00:07:38.9,PR3
Open Women,"Outlaw, Pearl",2K,00:07:44.4,PR3
Open Women,"Reckford, Molly",2K,00:07:13.4,
Open Women,"Reelick, Kelsey",2K,00:06:49.4,
Open Women,"Salmons, Regina",2K,00:06:53.8,
Open Women,"Thoennes, Jessica",2K,00:06:45.6,
Open Women,"Vitas, Sophia",2K,00:06:33.8,
Open Women,"Wagner, Kristi",2K,00:06:44.8,
Open Women,"Wanamaker, Madeleine",2K,00:06:48.2,
Open Women,"Wolford, Brooke",2K,00:06:45.0,
U19 Men,"Carroll, Jack",2K,00:06:26.4,
U19 Men,"Fineman, Nathan",2K,00:06:22.5,
U19 Men,"Green, Oscar",2K,00:06:49.5,
U19 Men,"Green, Oscar",2K,00:06:53.0,
U23 Men,"Dean, Clark",2K,00:05:49.0,
U23 Men,"Lee, Evan",2K,00:06:05.6,
U23 Men,"Page-Kuhr, Oliver",2K,00:05:55.5,
U23 Men,"Ryan, Hugh",2K,00:06:42.2,
Open Men,"Best, Justin",2K,00:05:55.0,
Open Men,"Bub, Oliver",2K,00:05:48.6,
Open Men,"Clougher, Michael",2K,00:05:48.0,
Open Men,"Corrigan, Liam",2K,00:05:51.4,
Open Men,"Davison, Ben",2K,00:05:52.7,
Open Men,"Dunne, Griffin",2K,00:05:57.4,
Open Men,"Gaard, Andrew",2K,00:05:51.5,
Open Men,"Ganther, Frank",2K,00:09:45.7,PR1
Open Men,"Gernaat, Russell",2K,00:07:11.5,PR2
Open Men,"Grady, Michael",2K,00:05:49.5,
Open Men,"Kirkegaard, Jonathan",2K,00:05:54.5,
Open Men,"Knippen, Michael",2K,00:05:46.0,
Open Men,"Koszyk, Sorin",2K,00:05:59.9,
Open Men,"LeRoux, Andrew",2K,00:05:48.7,
Open Men,"Pushner, James",2K,00:05:58.0,
Open Men,"Vogt, Todd",2K,00:06:27.3,PR3
Open Men,"Wehking, Adam",2K,00:05:56.9,
Open Men,"Clougher, Michael",6K,00:18:35.1,
Open Men,"Dunne, Griffin",6K,00:19:12.9,
