Event,Athlete,Distance,Time,Classification
U23 Women,"Holderness, Sue",2K,00:07:04.9,
U23 Women,"Ericksen, Avery",6K,00:22:28.7,
U23 Women,"Gevaudan, Victoria",6K,00:23:13.2,
U23 Women,"Forbis, Eleanor",6K,00:23:58.5,
U23 Women,"Hering, Lauren",6K,00:23:09.9,
U23 Women,"Hoefer, Natalie",6K,00:22:33.9,
U23 Women,"Passanisi-Boullet, Olivia",6K,00:22:09.7,
U23 Women,"Ulitsky, Ellen",6K,00:22:39.7,
Open Women,"Copp, Charlotte",6K,00:24:30.0,
U19 Women,"Ballantyne, Margaret",6K,00:24:07.2,
U19 Men,"DeBoer, Owen",6K,00:21:56.3,
Open Men,"Best, Justin",6K,00:18:50.0,
Open Men,"Bub, Oliver",6K,00:18:56.2,
Open Men,"Carlson, Chris",6K,00:18:36.7,
Open Men,"Davison, Ben",6K,00:18:39.0,
Open Men,"Gaard, Andrew",6K,00:18:36.3,
Open Men,"Grady, Michael",6K,00:18:54.1,
Open Men,"LeRoux, Andrew",6K,00:18:53.9,
Open Men,"Quinton, Pieter",6K,00:18:51.2,
U23 Women,"Tung, Julia",2K,00:07:18.8,
U23 Women,"Czajkowski, Azja",2K,00:06:42.6,
U23 Women,"Tung, Julia",6K,00:23:11.3,
U23 Women,"Varney, Rosemary",6K,00:23:01.2,
U23 Women,"Wiley, Charlotte",6K,00:22:47.3,
Open Women,"Bruggeman, Molly",6K,00:21:31.3,
Open Women,"Buck, Charlotte",6K,00:21:40.4,
Open Women,"Collins, Claire",6K,00:21:23.0,
Open Women,"Fili, Michalina",6K,00:21:28.0,
Open Women,"Hagstrom, Alina",6K,00:21:51.4,
Open Women,"Kohler, Kara",6K,00:21:24.3,
Open Women,"Martin, Elizabeth",6K,00:22:35.4,
Open Women,"Mazzio-Manson, Mary (Daisy)",6K,00:22:19.3,
Open Women,"Opitz, Vicky",6K,00:21:27.1,
Open Women,"Reckford, Molly",6K,00:23:04.3,
Open Women,"Reelick, Kelsey",6K,00:21:55.6,
Open Women,"Rusher, Alison",6K,00:22:20.1,
Open Women,"Salmons, Regina",6K,00:21:56.2,
Open Women,"Sechser, Michelle",6K,00:22:20.0,
Open Women,"Thoennes, Jessica",6K,00:21:32.4,
Open Women,"Vitas, Sophia",6K,00:21:05.4,
Open Women,"Wagner, Kristi",6K,00:21:41.5,
Open Women,"Wanamaker, Madeleine",6K,00:21:42.4,
Open Women,"Wolford, Brooke",6K,00:21:37.5,
U19 Men,"Fineman, Nathan",6K,00:20:36.0,
Open Men,"Best, Justin",6K,00:18:50.0,
Open Men,"Bub, Oliver",6K,00:18:56.2,
Open Men,"Carlson, Chris",6K,00:18:36.7,
Open Men,"Davison, Ben",6K,00:18:39.0,
Open Men,"Gaard, Andrew",6K,00:18:36.3,
Open Men,"Grady, Michael",6K,00:18:54.1,
Open Men,"Karwoski, Alex",6K,00:19:09.0,
Open Men,"Kirkegaard, Jonathan",6K,00:18:52.8,
Open Men,"Knippen, Mike",6K,00:18:42.5,
